製品区分,製品コード,製造指示番号,手配区分名,製番,納期,指示数,単位名,受入数,製番ステータス区分,備考,登録日,手配区分,商品コード,商品名,規格,型式,図番,品種分類コード,品種分類名,品種コード,品種名,張地種別,型紙区分１,型紙区分２,張地番号１,張地番号２,張地幅１,張地幅２,ファスナー色１,ファスナー色２,マジックテープ色１,マジックテープ色２,糸番１,糸番２,洗濯表示１,洗濯表示２,品番,仕様,ピース,パーツ,木色,特区
CH351   A,CH351   A  03           GRI,SZS000003320,製番手配入力,JUC000000672-01,2020/03/21,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000347,ﾄﾘﾉ 3Pｿﾌｧ,CH351   A  03           GRI,,,1,製品,0011,ソファ,布,G,,GRI,,1.37000,,BE,,BE,,102,,B,,CH351,A,03,,,
CH351   A,CH351   A  03           GRI,SZS000003829,製番手配入力,JUC000000947-01,2019/12/04,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000347,ﾄﾘﾉ 3Pｿﾌｧ,CH351   A  03           GRI,,,1,製品,0011,ソファ,布,G,,GRI,,1.37000,,BE,,BE,,102,,B,,CH351,A,03,,,
CH351   A,CH351   A  03           GRI,SZS000004255,製番手配入力,JUC000001120-01,2019/12/20,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000347,ﾄﾘﾉ 3Pｿﾌｧ,CH351   A  03           GRI,,,1,製品,0011,ソファ,布,G,,GRI,,1.37000,,BE,,BE,,102,,B,,CH351,A,03,,,
CH351   A,CH351   A  06           AP201,SZS000007392,製番手配入力,JUC000002013-02,2019/12/13,1,ﾋﾟｰｽ,0,0,06:残10,2019/11/20,5,CH351   0000537,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  06           AP201,,,1,製品,0011,ソファ,布,G,,AP201,,1.37000,,BE,,BE,,102,,B,,CH351,A,06,,,
CH351   A,CH351   A  06           AP211,SZS000003305,製番手配入力,JUC000000671-01,2019/12/18,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000572,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  06           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,06,,,
CH351   A,CH351   A  06           SP/183,SZS000003167,製番手配入力,JUC000000617-02,2020/03/09,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0002222,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  06           SP/183,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH351,A,06,,,
CH351   A,CH351   A  07           AP211,SZS000000001,製番手配入力,JUC000000001-01,2019/11/26,1,ﾋﾟｰｽ,1,1,07:残7　AP211:問合わせ中,2019/11/05,5,CH351   0000426,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  07           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,07,,,
CH351   A,CH351   A  07           AP211,SZS000003300,製番手配入力,JUC000000669-02,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000426,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  07           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,07,,,
CH351   A,CH351   A  07           AP212,SZS000005718,製番手配入力,JUC000001764-02,2020/01/06,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000549,ﾄﾘﾉ 2P片肘ｿﾌｧ,CH351   A  07           AP212,,,1,製品,0011,ソファ,布,G,,AP212,,1.37000,,BL,,BL,,170,,B,,CH351,A,07,,,
CH351   A,CH351   A  07    C      GRBL,SZS000006502,製番手配入力,JUC000001913-02,2019/12/04,1,ﾋﾟｰｽ,0,0,ｶﾊﾞｰのみ,2019/11/18,5,CH351   0000357,ﾄﾘﾉ 2P片肘ｿﾌｧｶﾊﾞｰ,CH351   A  07    C      GRBL,,,1,製品,0011,ソファ,布,G,,GRBL,,1.37000,,BL,,BL,,170,,B,,CH351,A,07,C,,
CH351   A,CH351   A  17S          AP211,SZS000003444,製番手配入力,JUC000000697-01,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000693,ﾄﾘﾉ ｽﾂｰﾙS,CH351   A  17S          AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,17S,,,
CH351   A,CH351   A  17S          GRI,SZS000003834,製番手配入力,JUC000000947-02,2019/12/04,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000285,ﾄﾘﾉ ｽﾂｰﾙS,CH351   A  17S          GRI,,,1,製品,0011,ソファ,布,G,,GRI,,1.37000,,BE,,BE,,102,,B,,CH351,A,17S,,,
CH351   A,CH351   A  49           AP211,SZS000000006,製番手配入力,JUC000000001-02,2019/11/26,1,ﾋﾟｰｽ,1,1,49:残4,2019/11/05,5,CH351   0000424,ﾄﾘﾉ ｶｳﾁ,CH351   A  49           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,49,,,
CH351   A,CH351   A  49           AP211,SZS000003295,製番手配入力,JUC000000669-01,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000424,ﾄﾘﾉ ｶｳﾁ,CH351   A  49           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,49,,,
CH351   A,CH351   A  49           AP212,SZS000005713,製番手配入力,JUC000001764-01,2020/01/06,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000547,ﾄﾘﾉ ｶｳﾁ,CH351   A  49           AP212,,,1,製品,0011,ソファ,布,G,,AP212,,1.37000,,BL,,BL,,170,,B,,CH351,A,49,,,
CH351   A,CH351   A  49    C      GRBL,SZS000006498,製番手配入力,JUC000001913-01,2019/12/04,1,ﾋﾟｰｽ,0,0,ｶﾊﾞｰのみ　GRBL:在庫確認中　146ｍ,2019/11/18,5,CH351   0000381,ﾄﾘﾉ ｶｳﾁｶﾊﾞｰ,CH351   A  49    C      GRBL,,,1,製品,0011,ソファ,布,G,,GRBL,,1.37000,,BL,,BL,,170,,B,,CH351,A,49,C,,
CH351   A,CH351   A  50           AP201,SZS000007387,製番手配入力,JUC000002013-01,2019/12/13,1,ﾋﾟｰｽ,0,0,50:残4　AP201:確認中　430ｍ,2019/11/20,5,CH351   0000527,ﾄﾘﾉ ｶｳﾁ,CH351   A  50           AP201,,,1,製品,0011,ソファ,布,G,,AP201,,1.37000,,BE,,BE,,102,,B,,CH351,A,50,,,
CH351   A,CH351   A  50           AP211,SZS000003310,製番手配入力,JUC000000671-02,2019/12/18,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0000573,ﾄﾘﾉ ｶｳﾁ,CH351   A  50           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH351,A,50,,,
CH351   A,CH351   A  50           SP/183,SZS000003162,製番手配入力,JUC000000617-01,2020/03/09,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH351   0002221,ﾄﾘﾉ ｶｳﾁ,CH351   A  50           SP/183,,,1,製品,0011,ソファ,布,G,,SP/183,,1.48000,,BL,,BL,,1017,,J,,CH351,A,50,,,
CH356   N,CH356   N  59           AP211,SZS000000011,製番手配入力,JUC000000001-03,2019/11/26,2,ﾋﾟｰｽ,2,1,59:11/7ETD(11/20入),2019/11/05,5,CH356   0000121,ﾍｯﾄﾞﾚｽﾄ,CH356   N  59           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH356,N,59,,,
CH356   N,CH356   N  59           AP211,SZS000003315,製番手配入力,JUC000000671-03,2019/12/18,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH356   0000121,ﾍｯﾄﾞﾚｽﾄ,CH356   N  59           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH356,N,59,,,
CH356   N,CH356   N  59           AP211,SZS000003454,製番手配入力,JUC000000697-03,2019/11/27,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH356   0000121,ﾍｯﾄﾞﾚｽﾄ,CH356   N  59           AP211,,,1,製品,0011,ソファ,布,G,,AP211,,1.37000,,BE,,BE,,1004,,B,,CH356,N,59,,,
CH356   N,CH356   N  59           SN/01,SZS000006982,製番手配入力,JUC000001971-01,2020/01/24,1,ﾋﾟｰｽ,0,0,59B:11/15入荷予定,2019/11/18,5,CH356   0000205,ﾍｯﾄﾞﾚｽﾄ,CH356   N  59           SN/01,,,1,製品,0011,ソファ,布,G,,SN/01,,1.42000,,BE,,BE,,104,,,,CH356,N,59,,,
CH356   N,CH356   N  59           SP/180,SZS000004595,製番手配入力,JUC000001229-01,2019/12/04,2,ﾋﾟｰｽ,0,0,,2019/11/13,5,CH356   0000173,ﾍｯﾄﾞﾚｽﾄ,CH356   N  59           SP/180,,,1,製品,0011,ソファ,布,G,,SP/180,,1.48000,,BE,,BE,,1000,,J,,CH356,N,59,,,
CU      FN,CU      FN 4040         T7168,SZS000000289,製番手配入力,JUC000000060-01,2019/11/26,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0004103,CUｸｯｼｮﾝ 40F,CU      FN 4040         T7168,,,1,製品,0019,クッション,布,G-R,,T7168,,1.40000,,BE,,BE,,104,,,,CU,FN,4040,,,
CU      FN,CU      FN 4545         18/3918,SZS000002523,製番手配入力,JUC000000412-01,2019/12/09,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0000985,CUｸｯｼｮﾝ 45F,CU      FN 4545         18/3918,,,1,製品,0019,クッション,布,G,,18/3918,,1.35000,,BL,,BL,,170,,E,,CU,FN,4545,,,
CU      FN,CU      FN 4545         18/3919,SZS000006530,製番手配入力,JUC000001918-02,2019/12/06,1,ﾋﾟｰｽ,0,0,№JUC000001914同一ﾛｯﾄ,2019/11/18,5,CU      0001445,CUｸｯｼｮﾝ 45F,CU      FN 4545         18/3919,,,1,製品,0019,クッション,布,G,,18/3919,,1.35000,,BE,,BE,,1000,,E,,CU,FN,4545,,,
CU      FN,CU      FN 4545         18/5166,SZS000004667,製番手配入力,JUC000001286-03,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0000391,CUｸｯｼｮﾝ 45F,CU      FN 4545         18/5166,,,1,製品,0019,クッション,布,G,,18/5166,,1.37000,,BR,,BE,,1004,,E,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/2459,SZS000000332,製番手配入力,JUC000000072-01,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0000774,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/2459,,,1,製品,0019,クッション,布,G,,22/2459,,1.37000,,BE,,BE,,101,,E,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/2601,SZS000006850,製番手配入力,JUC000001948-02,2019/11/28,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0002420,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/2601,,,1,製品,0019,クッション,布,G,,22/2601,,1.37000,,BE,,BE,,104,,D,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/2607,SZS000001589,製番手配入力,JUC000000174-01,2019/12/10,1,ﾋﾟｰｽ,0,0,,2019/11/06,5,CU      0002542,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/2607,,,1,製品,0019,クッション,布,G,,22/2607,,1.37000,,BL,,BL,,170,,D,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/2607,SZS000002868,製番手配入力,JUC000000529-05,2020/01/06,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0002542,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/2607,,,1,製品,0019,クッション,布,G,,22/2607,,1.37000,,BL,,BL,,170,,D,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/5312,SZS000006916,製番手配入力,JUC000001964-02,2019/12/09,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0001892,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/5312,,,1,製品,0019,クッション,布,G,,22/5312,,1.35000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/5508,SZS000006895,製番手配入力,JUC000001955-02,2019/12/02,1,ﾋﾟｰｽ,0,0,№1955　EL100同ﾛｯﾄ,2019/11/18,5,CU      0003449,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/5508,,,1,製品,0019,クッション,布,G,,22/5508,,1.37000,,BL,,BL,,1017,,C,,CU,FN,4545,,,
CU      FN,CU      FN 4545         22/5508,SZS000007101,製番手配入力,JUC000001984-03,2020/02/28,1,ﾋﾟｰｽ,0,0,№1984　N528と同ﾛｯﾄ,2019/11/20,5,CU      0003449,CUｸｯｼｮﾝ 45F,CU      FN 4545         22/5508,,,1,製品,0019,クッション,布,G,,22/5508,,1.37000,,BL,,BL,,1017,,C,,CU,FN,4545,,,
CU      FN,CU      FN 4545         28/4105,SZS000000581,製番手配入力,JUC000000102-05,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0001783,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/4105,,,1,製品,0019,クッション,布,G,,28/4105,,1.40000,,BE,,BE,,104,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         28/4162,SZS000000300,製番手配入力,JUC000000060-02,2019/11/26,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0003133,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/4162,,,1,製品,0019,クッション,布,G,,28/4162,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         28/4205,SZS000004067,製番手配入力,JUC000001035-04,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001826,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/4205,,,1,製品,0019,クッション,布,G,,28/4205,,1.40000,,BE,,BE,,104,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         28/4209,SZS000002444,製番手配入力,JUC000000387-01,2020/01/06,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001858,CUｸｯｼｮﾝ 45F,CU      FN 4545         28/4209,,,1,製品,0019,クッション,布,G,,28/4209,,1.40000,,BE,,BE,,104,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/2546,SZS000000305,製番手配入力,JUC000000060-03,2019/11/26,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0002373,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/2546,,,1,製品,0019,クッション,布,G,,38/2546,,1.37000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/2549,SZS000007171,製番手配入力,JUC000001996-01,2019/11/28,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0002448,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/2549,,,1,製品,0019,クッション,布,G,,38/2549,,1.37000,,BE,,BE,,101,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/2567,SZS000006369,製番手配入力,JUC000001903-05,2019/12/05,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0002393,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/2567,,,1,製品,0019,クッション,布,H,,38/2567,,1.37000,,BE,,BE,,1014,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/2568,SZS000002672,製番手配入力,JUC000000447-04,2019/12/13,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003461,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/2568,,,1,製品,0019,クッション,布,H,,38/2568,,1.45000,,BL,,BL,,170,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/2690,SZS000007529,製番手配入力,JUC000002026-01,2019/12/04,1,ﾋﾟｰｽ,1,1,№161652　N264同ﾛｯﾄ,2019/11/20,5,CU      0003078,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/2690,,,1,製品,0019,クッション,布,G,,38/2690,,1.40000,,BE,,BE,,1004,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/4228,SZS000002630,製番手配入力,JUC000000439-01,2019/11/29,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001736,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/4228,,,1,製品,0019,クッション,布,ZZ1,,38/4228,,1.40000,,BL,,BL,,170,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         38/6178,SZS000002749,製番手配入力,JUC000000465-04,2020/01/23,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003460,CUｸｯｼｮﾝ 45F,CU      FN 4545         38/6178,,,1,製品,0019,クッション,布,G,,38/6178,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2007,SZS000004657,製番手配入力,JUC000001286-01,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003924,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2007,,,1,製品,0019,クッション,布,ｶH,,48/2007,,1.44000,,BE,,BE,,1022,,G,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2009,SZS000006868,製番手配入力,JUC000001949-04,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0003923,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2009,,,1,製品,0019,クッション,布,ｶH,,48/2009,,1.44000,,BE,,BE,,1022,,G,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2009,SZS000006873,製番手配入力,JUC000001949-05,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0003923,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2009,,,1,製品,0019,クッション,布,ｶH,,48/2009,,1.44000,,BE,,BE,,1022,,G,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2206,SZS000002350,製番手配入力,JUC000000353-05,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003994,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2206,,,1,製品,0019,クッション,布,G,,48/2206,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2206,SZS000003290,製番手配入力,JUC000000668-04,2020/02/29,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003994,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2206,,,1,製品,0019,クッション,布,G,,48/2206,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2206,SZS000006938,製番手配入力,JUC000001967-05,2019/11/28,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0003994,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2206,,,1,製品,0019,クッション,布,G,,48/2206,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2206,SZS000007186,製番手配入力,JUC000001996-04,2019/11/28,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0003994,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2206,,,1,製品,0019,クッション,布,G,,48/2206,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2207,SZS000002355,製番手配入力,JUC000000353-06,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003871,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2207,,,1,製品,0019,クッション,布,G,,48/2207,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2207,SZS000002374,製番手配入力,JUC000000360-01,2019/12/19,2,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003871,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2207,,,1,製品,0019,クッション,布,G,,48/2207,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2207,SZS000005589,製番手配入力,JUC000001707-04,2019/12/02,2,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0003871,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2207,,,1,製品,0019,クッション,布,G,,48/2207,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2207,SZS000006829,製番手配入力,JUC000001946-05,2019/12/16,2,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0003871,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2207,,,1,製品,0019,クッション,布,G,,48/2207,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2207,SZS000007176,製番手配入力,JUC000001996-02,2019/11/28,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0003871,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2207,,,1,製品,0019,クッション,布,G,,48/2207,,1.40000,,BL,,BL,,1017,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2402,SZS000007181,製番手配入力,JUC000001996-03,2019/11/28,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0003980,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2402,,,1,製品,0019,クッション,布,G,,48/2402,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/2609,SZS000002625,製番手配入力,JUC000000431-06,2020/01/23,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0004074,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/2609,,,1,製品,0019,クッション,布,G,,48/2609,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/4501,SZS000000586,製番手配入力,JUC000000102-06,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/05,5,CU      0000995,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/4501,,,1,製品,0019,クッション,布,ｶG,,48/4501,,1.40000,,BE,,BE,,102,,A,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/4501,SZS000003476,製番手配入力,JUC000000699-04,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0000995,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/4501,,,1,製品,0019,クッション,布,ｶG,,48/4501,,1.40000,,BE,,BE,,102,,A,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/4947,SZS000006736,製番手配入力,JUC000001936-04,2019/12/24,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0002392,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/4947,,,1,製品,0019,クッション,布,H,,48/4947,,1.37000,,BE,,BE,,1000,,E,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/6000,SZS000002933,製番手配入力,JUC000000536-04,2020/02/19,2,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001781,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/6000,,,1,製品,0019,クッション,布,G,,48/6000,,1.40000,,BE,,BE,,102,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/6000,SZS000006889,製番手配入力,JUC000001951-03,2020/02/10,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0001781,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/6000,,,1,製品,0019,クッション,布,G,,48/6000,,1.40000,,BE,,BE,,102,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/6009,SZS000003991,製番手配入力,JUC000001009-01,2019/12/14,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001829,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/6009,,,1,製品,0019,クッション,布,G,,48/6009,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/6009,SZS000003996,製番手配入力,JUC000001009-02,2019/12/14,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001829,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/6009,,,1,製品,0019,クッション,布,G,,48/6009,,1.40000,,BE,,BE,,1000,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         48/8145,SZS000004662,製番手配入力,JUC000001286-02,2019/12/02,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0002439,CUｸｯｼｮﾝ 45F,CU      FN 4545         48/8145,,,1,製品,0019,クッション,布,G,,48/8145,,1.37000,,BE,,BE,,102,,B,,CU,FN,4545,,,
CU      FN,CU      FN 4545         58/2276,SZS000002528,製番手配入力,JUC000000412-02,2019/12/09,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0002372,CUｸｯｼｮﾝ 45F,CU      FN 4545         58/2276,,,1,製品,0019,クッション,布,GR,,58/2276,,1.37000,,BR,,BE,,1017,,J,,CU,FN,4545,,,
CU      FN,CU      FN 4545         MYS/PUT,SZS000006209,製番手配入力,JUC000001890-02,2019/12/12,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0003519,CUｸｯｼｮﾝ 45F,CU      FN 4545         MYS/PUT,,,1,製品,0019,クッション,布,GR,,MYS/PUT,,1.37000,,BE,,BE,,104,,,,CU,FN,4545,,,
CU      FN,CU      FN 4545         TL1611,SZS000006461,製番手配入力,JUC000001909-02,2019/12/06,1,ﾋﾟｰｽ,0,0,,2019/11/18,5,CU      0002889,CUｸｯｼｮﾝ 45F,CU      FN 4545         TL1611,,,1,製品,0019,クッション,革,E-S,,TL1611,,1.37000,,BE,,BE,,101,,,,CU,FN,4545,,,
CU      FN,CU      FN 4545         VER/DOV,SZS000005399,製番手配入力,JUC000001645-02,2020/02/03,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0002931,CUｸｯｼｮﾝ 45F,CU      FN 4545         VER/DOV,,,1,製品,0019,クッション,布,G,,VER/DOV,,1.37000,,BE,,BE,,1022,,,,CU,FN,4545,,,
CU      FN,CU      FN 4545         VER/MIS,SZS000005394,製番手配入力,JUC000001645-01,2020/02/03,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0002738,CUｸｯｼｮﾝ 45F,CU      FN 4545         VER/MIS,,,1,製品,0019,クッション,布,G,,VER/MIS,,1.37000,,BE,,BE,,104,,,,CU,FN,4545,,,
CU      FN,CU      FN 5050         22/2607,SZS000007191,製番手配入力,JUC000001996-05,2019/11/28,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0002444,CUｸｯｼｮﾝ 50F,CU      FN 5050         22/2607,,,1,製品,0019,クッション,布,G,,22/2607,,1.37000,,BL,,BL,,170,,D,,CU,FN,5050,,,
CU      FN,CU      FN 5050         28/4105,SZS000004379,製番手配入力,JUC000001160-03,2020/02/21,1,ﾋﾟｰｽ,0,0,,2019/11/13,5,CU      0001814,CUｸｯｼｮﾝ 50F,CU      FN 5050         28/4105,,,1,製品,0019,クッション,布,G,,28/4105,,1.40000,,BE,,BE,,104,,B,,CU,FN,5050,,,
CU      FN,CU      FN 5050         28/8801,SZS000007468,製番手配入力,JUC000002021-02,2019/11/27,1,ﾋﾟｰｽ,1,1,,2019/11/20,5,CU      0003556,CUｸｯｼｮﾝ 50F,CU      FN 5050         28/8801,,,1,製品,0019,クッション,布,G,,28/8801,,1.40000,,BE,,BE,,1000,,B,,CU,FN,5050,,,
