013CH232W-35C SN/03,10,J-‚ -3,11
013CH232W-37C SN/01,10,B-‚¢-3,0
013CH232W-37C SN/02,10,R-‚¢-4,10
013CH232WI-03C SN/01,1,B-‚¤-3,1
013CH232WI-03C SN/03,2,C-‚¦-3,2
013CH232WI-06C SN/01,1,E-‚ -3,3
013CH232WI-08C SN/03,3,D-‚ -3,0
013CH232WI-50C SN/03,2,D-‚¦-1,1
013CH271-35C SP/180,5,P-‚ -1,1
013CH271-35C SP/182,5,N-‚ -1,8
013CH271-35C SP/184,5,E-‚¤-3,5
013CH271-37C SP/183,20,E-‚¢-3,0
013CH271-37C SP/183,10,F-‚ -3,10
013CH271I-03C SP/182,1,R-‚¦-4,3
013CH271I-08C SN/03,1,K-‚¢-3,3
013CH271I-08C SP/183,4,M-‚¦-1,0
013CH271I-08C SP/183,1,N-‚¦-2,2
013CH271I-09C SN/01,1,G-‚¤-3,1
013CH271I-09C SP/183,4,N-‚¤-1,0
013CH271I-09C SP/183,4,O-‚¤-3,0
013CH271I-09C SP/183,2,N-‚¤-2,1
013CH271I-17C SN/01,1,I-‚ -1,1
013CH271I-17C SP/182,1,L-‚¤-4,4
013CH271I-41C SN/02,1,Q-‚¢-2,2
013CH271I-41C SP/180,1,K-‚¤-3,2
013CH271I-41C SP/181,1,J-‚¦-1,1
013CH271I-42C SP/180,1,P-‚¤-3,2
013CH271I-42C SP/183,1,L-‚¤-3,3
013CH271I-49C SP/180,1,L-‚¢-1,1
013CH271I-50C SN/02,2,L-‚¦-1,2
013CH271I-50C SN/03,3,P-‚¦-3,0
013CH271I-50C SP/183,4,P-‚¦-4,0
013CH271I-50C SP/183,1,M-‚ -1,1
