013CH232WI-03C SN/02,2,B-‚¤-3,0
013CH232WI-06C SN/01,1,E-‚ -3,2
013CH232WI-08C SN/02,2,C-‚¦-1,2
013CH232WI-08C SN/03,1,C-‚¢-3,2
013CH232WI-09C SN/02,4,C-‚¦-3,0
013CH232WI-09C SN/02,2,B-‚¤-4,2
013CH232WI-49C SN/02,4,D-‚ -1,0
013CH232WI-49C SN/02,2,H-‚ -3,2
013CH232WI-49C SN/03,1,C-‚¢-1,3
013CH232WI-50C SN/01,1,D-‚¢-4,3
013CH232WI-50C SN/02,1,L-‚¦-2,3
013CH232WI-50C SN/03,1,L-‚¢-2,3
013CH271-35C SN/03,2,H-‚¤-1,2
013CH271-37C SN/03,11,D-‚¦-1,0
013CH271-37C SP/181,10,N-‚¦-1,9
013CH271-37C SP/183,20,E-‚¤-3,0
013CH271I-03C SP/183,4,F-‚ -1,0
013CH271I-08C SN/02,1,F-‚ -3,0
013CH271I-08C SN/03,2,K-‚¢-3,2
013CH271I-08C SP/183,1,F-‚¦-3,1
013CH271I-09C SN/02,1,J-‚¦-2,2
013CH271I-09C SN/03,1,N-‚¦-4,2
013CH271I-09C SP/181,1,G-‚¤-3,0
013CH271I-09C SP/183,1,I-‚¢-1,2
013CH271I-17C SN/02,1,P-‚¤-2,4
013CH271I-17C SN/03,1,I-‚ -3,6
013CH271I-41C SP/180,1,K-‚¤-3,1
013CH271I-41C SP/181,1,H-‚¢-1,0
013CH271I-42C SN/02,1,Q-‚¤-3,1
013CH271I-42C SN/03,1,G-‚ -4,1
013CH271I-42C SP/183,1,L-‚¤-3,2
013CH271I-49C SP/181,2,I-‚ -1,0
013CH271I-50C SN/03,2,M-‚¤-1,2
