013CH271-37C SP/183,20,B-‚ -3,0
013CH271-37C SP/183,20,B-‚¢-1,0
013CH271-37C SP/183,20,B-‚¤-1,0
013CH271I-03C SP/183,4,C-‚¢-3,0
013CH271I-03C SP/183,4,C-‚¤-3,0
013CH271I-03C SP/183,4,D-‚ -1,0
013CH271I-03C SP/183,1,P-‚¦-3,2
013CH271I-08C SP/183,4,D-‚ -3,0
013CH271I-08C SP/183,4,D-‚¦-1,0
013CH271I-08C SP/183,4,E-‚ -1,0
013CH271I-09C SP/183,4,E-‚¤-1,0
013CH271I-09C SP/183,4,E-‚¤-3,0
013CH271I-09C SP/183,2,E-‚¦-1,1
013CH271I-17C SP/183,8,F-‚ -1,0
013CH271I-17C SP/183,4,F-‚ -3,0
013CH271I-42C SP/183,3,F-‚¢-3,0
013CH271I-50C SP/183,4,F-‚¦-3,0
013CH271I-50C SP/183,4,G-‚ -1,0
013CH271I-50C SP/183,4,G-‚¢-3,0
013CH271I-50C SP/183,4,G-‚¦-1,0
013CH271I-50C SP/183,4,H-‚¦-3,0
