B-‚ -1,013CH232W-37C SN/03,14
B-‚ -2,013CH232WI-03C SP/126N,3
B-‚ -3,013CH232WI-03C SN/02,1
B-‚ -4,013CH232WI-08C SN/02,4
B-‚¢-1,013CH232WI-49C SN/03,3
B-‚¢-2,013CH232W-37C SP/122N,16
B-‚¢-3,013CH232W-37C SN/03,20
B-‚¢-4,013CH232W-37C SP/126N,11
B-‚¤-1,013CH232W-37C SN/01,11
B-‚¤-2,013CH232WI-08C SN/02,3
B-‚¤-3,013CH232WI-03C SN/01,1
B-‚¤-4,013CH232WI-09C SN/02,1
B-‚¦-1,013CH232WI-17C SN/03,7
B-‚¦-2,013CH271I-49C SN/03,3
B-‚¦-3,013CH232WI-07C SN/01,1
B-‚¦-4,013CH232WI-09C SN/03,3
C-‚ -1,013CH232WI-07C SN/03,2
C-‚ -2,013CH232W-37C SP/180,5
C-‚ -3,013CH232WI-17C SP/122N,1
C-‚ -4,013CH271I-03C SP/181,3
C-‚¢-1,013CH232WI-49C SN/03,3
C-‚¢-2,013CH271-37C SN/01,8
C-‚¢-3,013CH271I-17C SP/183,1
C-‚¢-4,013CH232W-35C SN/01,8
C-‚¤-1,013CH232WI-49C SN/03,5
C-‚¤-2,013CH232WI-03C SP/122N,4
C-‚¤-3,013CH232WI-03C SN/03,4
C-‚¤-4,013CH271-35C SP/181,9
C-‚¦-1,013CH232WI-08C SN/02,2
C-‚¦-2,013CH232W-35C SN/02,5
C-‚¦-3,013CH232WI-03C SN/03,3
C-‚¦-4,013CH232W-35C SP/126N,46
D-‚ -1,013CH232WI-08C SN/03,4
D-‚ -2,013CH232WI-08C SP/126N,2
D-‚ -3,013CH271-35C SN/02,10
D-‚ -4,013CH271I-03C SN/01,2
D-‚¢-1,013CH271-37C SN/02,19
D-‚¢-2,013CH232W-37C SP/184,2
D-‚¢-3,013CH232WI-07C SN/03,3
D-‚¢-4,013CH232WI-50C SN/01,3
D-‚¤-1,013CH271-35C SP/183,7
D-‚¤-2,013CH271I-03C SP/181,4
D-‚¤-3,013CH271-37C SP/181,18
D-‚¤-4,013CH232WI-06C SP/122N,1
D-‚¦-1,013CH232WI-50C SN/03,1
D-‚¦-2,013CH232WI-08C SP/122N,1
D-‚¦-3,013CH271I-03C SP/181,3
D-‚¦-4,013CH232WI-07C SP/126N,1
E-‚ -1,013CH232WI-50C SP/122N,2
E-‚ -2,013CH232WI-49C SP/122N,4
E-‚ -3,013CH232WI-06C SN/01,3
E-‚ -4,013CH232WI-07C SP/126N,6
E-‚¢-1,013CH232WI-17C SP/126N,2
E-‚¢-2,013CH232W-35C SP/122N,4
E-‚¢-3,013CH271-37C SN/02,10
E-‚¢-4,013CH232W-35C SP/126N,30
E-‚¤-1,013CH232WI-08C SN/03,4
E-‚¤-2,013CH271I-49C SP/126N,3
E-‚¤-3,013CH271-35C SP/184,5
E-‚¤-4,013CH232WI-50C SP/126N,4
E-‚¦-1,013CH271-37C SP/183,2
E-‚¦-2,013CH232WI-03C SP/181,1
E-‚¦-3,013CH232WI-09C SN/02,4
E-‚¦-4,013CH232WI-06C SN/03,3
F-‚ -1,013CH271-37C SP/183,18
F-‚ -2,013CH271I-49C SP/184,1
F-‚ -3,013CH271-37C SP/183,10
F-‚ -4,013CH271I-49C SP/182,3
F-‚¢-1,013CH271I-08C SN/02,3
F-‚¢-2,013CH271I-42C SP/182,1
F-‚¢-3,013CH232WI-09C SN/03,4
F-‚¢-4,013CH232WI-08C SN/01,2
F-‚¤-1,013CH271I-06C SP/126N,2
F-‚¤-2,013CH271I-07C SP/126N,4
F-‚¤-3,013CH271I-49C SN/02,3
F-‚¤-4,013CH271I-41C SN/01,3
F-‚¦-1,013CH271-35C SP/126N,1
F-‚¦-2,013CH271I-08C SP/180,4
F-‚¦-3,013CH271I-08C SP/183,2
F-‚¦-4,013CH271I-41C SP/126N,3
G-‚ -1,013CH271I-49C SP/183,4
G-‚ -2,013CH271I-42C SP/126N,3
G-‚ -3,013CH232WI-09C SN/02,4
G-‚ -4,013CH271I-42C SN/03,4
G-‚¢-1,013CH271-37C SN/02,23
G-‚¢-2,013CH271I-03C SP/184,4
G-‚¢-3,013CH271I-50C SP/126N,1
G-‚¢-4,013CH232WI-09C SP/126N,1
G-‚¤-1,013CH232WI-09C SN/02,2
G-‚¤-2,013CH271I-50C SP/182,2
G-‚¤-3,013CH271I-09C SN/01,1
G-‚¤-4,013CH232WI-49C SN/02,4
G-‚¦-1,013CH271I-09C SP/182,1
G-‚¦-2,013CH232WI-09C SN/01,1
G-‚¦-3,013CH232WI-06C SP/126N,4
G-‚¦-4,013CH271I-49C SP/184,3
H-‚ -1,013CH271-37C SP/126N,22
H-‚ -2,013CH232WI-49C SP/126N,4
H-‚ -3,013CH232WI-49C SN/02,2
H-‚ -4,013CH271I-03C SN/02,1
H-‚¢-1,013CH271I-09C SP/183,4
H-‚¢-2,013CH232WI-09C SN/01,3
